 
****************************************
Report : cell
Design : mem_system
Version: B-2008.09-SP3
Date   : Thu Apr 21 02:04:37 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
AddrReqReg[0]             dff_232                         11.732500 h, n
AddrReqReg[1]             dff_233                         11.732500 h, n
AddrReqReg[2]             dff_234                         11.732500 h, n
AddrReqReg[3]             dff_235                         11.732500 h, n
AddrReqReg[4]             dff_236                         11.732500 h, n
AddrReqReg[5]             dff_237                         11.732500 h, n
AddrReqReg[6]             dff_238                         11.732500 h, n
AddrReqReg[7]             dff_239                         11.732500 h, n
AddrReqReg[8]             dff_240                         11.732500 h, n
AddrReqReg[9]             dff_241                         11.732500 h, n
AddrReqReg[10]            dff_242                         11.732500 h, n
AddrReqReg[11]            dff_243                         11.732500 h, n
AddrReqReg[12]            dff_244                         11.732500 h, n
AddrReqReg[13]            dff_245                         11.732500 h, n
AddrReqReg[14]            dff_246                         11.732500 h, n
AddrReqReg[15]            dff_247                         11.732500 h, n
DataInReqReg[0]           dff_216                         11.732500 h, n
DataInReqReg[1]           dff_217                         11.732500 h, n
DataInReqReg[2]           dff_218                         11.732500 h, n
DataInReqReg[3]           dff_219                         11.732500 h, n
DataInReqReg[4]           dff_220                         11.732500 h, n
DataInReqReg[5]           dff_221                         11.732500 h, n
U269                      AND2X1          gscl45nm        2.346500  
U270                      INVX1           gscl45nm        1.407900  
U271                      INVX1           gscl45nm        1.407900  
U272                      OR2X1           gscl45nm        2.346500  
U273                      INVX1           gscl45nm        1.407900  
U274                      BUFX2           gscl45nm        2.346500  
U275                      INVX1           gscl45nm        1.407900  
U276                      INVX1           gscl45nm        1.407900  
U277                      INVX1           gscl45nm        1.407900  
U278                      INVX1           gscl45nm        1.407900  
U279                      INVX1           gscl45nm        1.407900  
U280                      INVX1           gscl45nm        1.407900  
U281                      INVX1           gscl45nm        1.407900  
U282                      INVX1           gscl45nm        1.407900  
U283                      INVX1           gscl45nm        1.407900  
U284                      INVX1           gscl45nm        1.407900  
U285                      INVX1           gscl45nm        1.407900  
U286                      INVX1           gscl45nm        1.407900  
U287                      INVX1           gscl45nm        1.407900  
U288                      AND2X1          gscl45nm        2.346500  
U289                      INVX1           gscl45nm        1.407900  
U290                      INVX1           gscl45nm        1.407900  
U291                      AND2X1          gscl45nm        2.346500  
U292                      INVX1           gscl45nm        1.407900  
U293                      INVX1           gscl45nm        1.407900  
U294                      INVX1           gscl45nm        1.407900  
U295                      INVX1           gscl45nm        1.407900  
U296                      INVX1           gscl45nm        1.407900  
U297                      INVX1           gscl45nm        1.407900  
U298                      INVX1           gscl45nm        1.407900  
U299                      INVX1           gscl45nm        1.407900  
U300                      INVX1           gscl45nm        1.407900  
